Dataset,Encoding,Encoding_max,F1,type,is_imbalanced,bio_field
ace_vaxinpad,ican_hyd,ican_nohyd,0.8167604752970606,sequence based,0.4404069767,ace
acp_anticp,ican_hyd,ican_hyd,0.7869087434304824,sequence based,0.5,acp
acp_iacp,ican_hyd,ican_nohyd,0.7495652173913043,sequence based,0.4011627907,acp
acp_mlacp,ican_hyd,ican_hyd,0.5891547049441787,sequence based,0.3196581197,acp
afp_amppred,ican_hyd,ican_dd,0.7699167702331187,sequence based,0.5,afp
afp_antifp,ican_hyd,ican_hyd,0.7435115579305418,sequence based,0.5003429355,afp
ai4avp_2,ican_hyd,,0.7160219103046902,sequence based,,
aip_aippred,ican_hyd,ican_hyd,0.4722222222222222,sequence based,0.4003813155,aip
aip_antiinflam,ican_hyd,ican_dd,0.48332759252880586,sequence based,0.4063088512,aip
amp_antibp,ican_hyd,ican_nohyd,0.7612903225806451,sequence based,0.5005807201,amp
amp_antibp2,ican_hyd,ican_nohyd,0.7771432118691415,sequence based,0.5012543904,amp
amp_csamp,ican_hyd,ican_hyd,0.9505882352941175,sequence based,0.5,amp
amp_fernandes,ican_hyd,ican_dd,0.8124185844550587,sequence based,0.4978354978,amp
amp_gonzales,ican_hyd,ican_dd,0.7749999999999999,sequence based,0.2093023256,amp
amp_iamp2l,ican_hyd,ican_nohyd,0.7957042957042957,sequence based,0.2676613886,amp
amp_modlamp,ican_hyd,ican_nohyd,0.8830077714765805,sequence based,0.4749903063,amp
atb_antitbp,ican_hyd,ican_nohyd,0.7409274193548386,sequence based,0.5,atb
atb_iantitb,ican_hyd,ican_dd,0.7091826829741797,sequence based,0.5,atb
avp_amppred,ican_hyd,ican_dd,0.7273283880843049,sequence based,0.5,avp
avp_avppred,ican_hyd,ican_dd,0.8023478393440956,sequence based,0.5721107927,avp
bce_ibce,ican_hyd,ican_hyd,0.5248289560803355,sequence based,0.4408260524,bce
c2pred,ican_hyd,,0.7108843537414966,sequence based,,
cppsite2,ican_hyd,,0.8268136557610242,sequence based,,
cpp_cellppd,ican_hyd,ican_nohyd,0.8018399532710281,sequence based,0.5,cpp
cpp_cellppdmod,ican_hyd,ican_dd,0.8582591876208896,sequence based,0.5006839945,cpp
cpp_cppredfl,ican_hyd,ican_hyd,0.7832560676302154,sequence based,0.5,cpp
cpp_kelmcpp,ican_hyd,ican_dd,0.7493456546124673,sequence based,0.5024925224,cpp
cpp_mixed,ican_hyd,ican_hyd,0.8942414174972315,sequence based,0.7578125,cpp
cpp_mlcpp,ican_hyd,ican_dd,0.6918899670613372,sequence based,0.3878087231,cpp
cpp_mlcppue,ican_hyd,ican_hyd,0.6667852062588904,sequence based,0.5,cpp
cpp_sanders,ican_hyd,ican_hyd,0.88,sequence based,0.7655172414,cpp
amy_hex,ican_hyd,,0.6918985270049101,sequence based,,
hem_hemopi,ican_hyd,ican_nohyd,0.8549244070907598,sequence based,0.472826087,hem
effectorp,ican_hyd,,0.568061440677966,sequence based,,
toxinpred_swissprot,ican_hyd,,0.8317068077404983,sequence based,,
toxinpred_trembl,ican_hyd,,0.7561146051712089,sequence based,,
toxinpred2,ican_hyd,,0.7473438956197576,sequence based,,
amy_albase,ican_hyd,,0.9251336898395721,sequence based,,
sol_ecoli,ican_hyd,,0.7222739168362897,sequence based,,
hiv_3tc,ican_hyd,ican_nohyd,0.35877192982456135,sequence based,0.3125,hiv
foldamer_b,ican_hyd,,0.9652761032071377,sequence based,,
perm_cyc,ican_hyd,,0.8510066296118886,sequence based,,
hiv_abc,ican_hyd,ican_nohyd,0.3549965059399022,sequence based,0.2891760905,hiv
hiv_apv,ican_hyd,ican_hyd,0.828092029133483,sequence based,0.603988604,hiv
hiv_azt,ican_hyd,ican_hyd,0.7558370591157477,sequence based,0.5185185185,hiv
hiv_bevirimat,ican_hyd,ican_nohyd,0.75,sequence based,0.2774193548,hiv
hiv_d4t,ican_hyd,ican_hyd,0.7794666522421161,sequence based,0.5410628019,hiv
hiv_ddi,ican_hyd,ican_nohyd,0.6435840707964602,sequence based,0.4911717496,hiv
hiv_dlv,ican_hyd,ican_hyd,0.846572521329803,sequence based,0.6337047354,hiv
hiv_efv,ican_hyd,ican_nohyd,0.8517390200558517,sequence based,0.6199722607,hiv
hiv_idv,ican_hyd,ican_nohyd,0.8470111448834854,sequence based,0.5065963061,hiv
hiv_lpv,ican_hyd,ican_hyd,0.8217299578059072,sequence based,0.4451097804,hiv
hiv_nfv,ican_hyd,ican_hyd,0.7721674876847291,sequence based,0.3909677419,hiv
hiv_nvp,ican_hyd,ican_nohyd,0.8096420442789157,sequence based,0.5661664393,hiv
