columns,p-value,CENACT significantly better than CMANGOES?
ace_vaxinpad,9.133589555477501e-05,True
acp_anticp,9.133589555477501e-05,True
acp_iacp,9.133589555477501e-05,True
acp_mlacp,9.133589555477501e-05,True
afp_amppred,9.133589555477501e-05,True
afp_antifp,9.133589555477501e-05,True
ai4avp_2,9.133589555477501e-05,True
aip_aippred,0.9994960118798116,False
aip_antiinflam,0.0006574723348566069,True
amp_antibp,0.00021981937631328227,True
amp_antibp2,9.133589555477501e-05,True
amp_csamp,0.01874583288988788,True
amp_fernandes,9.133589555477501e-05,True
amp_gonzales,0.00013444773795119431,True
amp_iamp2l,9.133589555477501e-05,True
amp_modlamp,9.133589555477501e-05,True
atb_antitbp,9.133589555477501e-05,True
atb_iantitb,9.133589555477501e-05,True
avp_amppred,9.133589555477501e-05,True
avp_avppred,0.00038426945658138323,True
bce_ibce,0.5749466304307371,False
c2pred,9.133589555477501e-05,True
cppsite2,9.133589555477501e-05,True
cpp_cellppd,9.133589555477501e-05,True
cpp_cellppdmod,9.133589555477501e-05,True
cpp_cppredfl,9.133589555477501e-05,True
cpp_kelmcpp,9.133589555477501e-05,True
cpp_mixed,0.9248439115712915,False
cpp_mlcpp,9.133589555477501e-05,True
cpp_mlcppue,0.19233653136775436,False
cpp_sanders,0.9919206209827433,False
amy_hex,9.133589555477501e-05,True
hem_hemopi,9.133589555477501e-05,True
effectorp,0.00016491926038899677,True
toxinpred_swissprot,9.133589555477501e-05,True
toxinpred_trembl,9.133589555477501e-05,True
toxinpred2,0.0011011099712485391,True
amy_albase,0.00021981937631328227,True
sol_ecoli,0.15374472830934066,False
hiv_3tc,0.0003825114754596801,True
foldamer_b,9.133589555477501e-05,True
perm_cyc,9.133589555477501e-05,True
hiv_abc,0.0006574723348566069,True
hiv_apv,9.133589555477501e-05,True
hiv_azt,9.133589555477501e-05,True
hiv_bevirimat,0.0003317411793835479,True
hiv_d4t,9.133589555477501e-05,True
hiv_ddi,0.0005039881201883722,True
hiv_dlv,9.133589555477501e-05,True
hiv_efv,9.133589555477501e-05,True
hiv_idv,9.133589555477501e-05,True
hiv_lpv,9.133589555477501e-05,True
hiv_nfv,9.133589555477501e-05,True
hiv_nvp,9.133589555477501e-05,True
hiv_protease,0.0045281971226186785,True
hiv_rtv,9.133589555477501e-05,True
hiv_sqv,9.133589555477501e-05,True
hiv_v3,0.00364227850473983,True
isp_il10pred,0.05205494483011341,False
nep_neuropipred,9.133589555477501e-05,True
pip_pipel,0.9999086641044452,False
tce_zhao,0.0015362464913466277,True
